ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,h1,h1_lower,h1_upper,h2,h2_lower,h2_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2012-08-01,8.363027403771195,7.095783692462111,8.786939693492656,8.363027403771195,8.363027403771195,-0.42911821670749023,-0.42911821670749023,-0.42911821670749023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.42911821670749023,-0.42911821670749023,-0.42911821670749023,0.0,0.0,0.0,7.933909187063705
2012-08-02,8.362574253774312,7.100639161269435,8.784336959314638,8.362574253774312,8.362574253774312,-0.3936952350863582,-0.3936952350863582,-0.3936952350863582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3936952350863582,-0.3936952350863582,-0.3936952350863582,0.0,0.0,0.0,7.968879018687954
2012-08-03,8.362121103777433,7.158606703744115,8.815386109989937,8.362121103777433,8.362121103777433,-0.3606852285218021,-0.3606852285218021,-0.3606852285218021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3606852285218021,-0.3606852285218021,-0.3606852285218021,0.0,0.0,0.0,8.00143587525563
2012-08-04,8.36166795378055,7.148665265591005,8.876199242354764,8.36166795378055,8.36166795378055,-0.33029573510372623,-0.33029573510372623,-0.33029573510372623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33029573510372623,-0.33029573510372623,-0.33029573510372623,0.0,0.0,0.0,8.031372218676823
2012-08-05,8.361214803783671,7.205690207466678,8.916619539880978,8.361214803783671,8.361214803783671,-0.30265840513701603,-0.30265840513701603,-0.30265840513701603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30265840513701603,-0.30265840513701603,-0.30265840513701603,0.0,0.0,0.0,8.058556398646655
2012-08-06,8.360761653786788,7.202494827429373,8.869451485344257,8.360761653786788,8.360761653786788,-0.2778252778732002,-0.2778252778732002,-0.2778252778732002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2778252778732002,-0.2778252778732002,-0.2778252778732002,0.0,0.0,0.0,8.082936375913588
2012-08-07,8.360308503789907,7.229445273820522,8.949641791789158,8.360308503789907,8.360308503789907,-0.255767096357035,-0.255767096357035,-0.255767096357035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.255767096357035,-0.255767096357035,-0.255767096357035,0.0,0.0,0.0,8.104541407432873
2012-08-08,8.359855353793026,7.290471398971106,9.033949279470269,8.359855353793026,8.359855353793026,-0.23637372623053898,-0.23637372623053898,-0.23637372623053898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23637372623053898,-0.23637372623053898,-0.23637372623053898,0.0,0.0,0.0,8.123481627562487
2012-08-09,8.359402203796146,7.295984663648603,9.035210756131574,8.359402203796146,8.359402203796146,-0.21945668868684184,-0.21945668868684184,-0.21945668868684184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21945668868684184,-0.21945668868684184,-0.21945668868684184,0.0,0.0,0.0,8.139945515109304
2012-08-10,8.358949053799265,7.26913337472211,9.025995304807184,8.358949053799265,8.358949053799265,-0.2047537613717099,-0.2047537613717099,-0.2047537613717099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2047537613717099,-0.2047537613717099,-0.2047537613717099,0.0,0.0,0.0,8.154195292427554
2012-08-11,8.358495903802384,7.316100028375483,9.00617039383517,8.358495903802384,8.358495903802384,-0.1919355454430327,-0.1919355454430327,-0.1919355454430327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1919355454430327,-0.1919355454430327,-0.1919355454430327,0.0,0.0,0.0,8.166560358359352
2012-08-12,8.358042753805503,7.298625697242875,9.062281936016612,8.358042753805503,8.358042753805503,-0.18061384374427666,-0.18061384374427666,-0.18061384374427666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18061384374427666,-0.18061384374427666,-0.18061384374427666,0.0,0.0,0.0,8.177428910061225
2012-08-13,8.357589603808622,7.3272222871427335,9.07424031287412,8.357589603808622,8.357589603808622,-0.17035164560554444,-0.17035164560554444,-0.17035164560554444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17035164560554444,-0.17035164560554444,-0.17035164560554444,0.0,0.0,0.0,8.187237958203077
2012-08-14,8.35713645381174,7.357322768719266,9.005716736416977,8.35713645381174,8.35713645381174,-0.16067446953204684,-0.16067446953204684,-0.16067446953204684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16067446953204684,-0.16067446953204684,-0.16067446953204684,0.0,0.0,0.0,8.196461984279694
2012-08-15,8.35668330381486,7.327560072683195,9.08727994100778,8.35668330381486,8.35668330381486,-0.1510827772182914,-0.1510827772182914,-0.1510827772182914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1510827772182914,-0.1510827772182914,-0.1510827772182914,0.0,0.0,0.0,8.205600526596568
2012-08-16,8.356230153817977,7.376441888815089,9.090539903065547,8.356230153817977,8.356230153817977,-0.1410651420031853,-0.1410651420031853,-0.1410651420031853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1410651420031853,-0.1410651420031853,-0.1410651420031853,0.0,0.0,0.0,8.215165011814792
2012-08-17,8.355777003821098,7.419356424993912,9.105410316571742,8.355777003821098,8.355777003821098,-0.13011183292656583,-0.13011183292656583,-0.13011183292656583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13011183292656583,-0.13011183292656583,-0.13011183292656583,0.0,0.0,0.0,8.225665170894532
